plot.no,samp.date,plant.no,samp.type,no.aphids
710,44066,3,flagged,10
710,44066,4,flagged,6
710,44066,5,flagged,9
710,44066,1,random,3
710,44066,2,random,4
710,44066,3,random,8
710,44066,4,random,0
710,44066,5,random,4
610,44066,1,flagged,2
610,44066,2,flagged,0
610,44066,3,flagged,3
610,44066,4,flagged,1
610,44066,5,flagged,24
610,44066,1,random,0
610,44066,2,random,9
610,44066,3,random,7
610,44066,4,random,5
610,44066,5,random,0
604,44066,1,flagged,5
604,44066,2,flagged,0
604,44066,3,flagged,0
604,44066,4,flagged,26
604,44066,5,flagged,2
604,44066,1,random,4
604,44066,2,random,0
604,44066,3,random,0
604,44066,4,random,2
604,44066,5,random,2
1106,44066,1,flagged,8
1106,44066,2,flagged,9
1106,44066,3,flagged,6
1106,44066,4,flagged,2
1106,44066,5,flagged,5
1106,44066,1,random,8
1106,44066,2,random,3
1106,44066,3,random,3
1106,44066,4,random,5
1106,44066,5,random,3
1109,44066,1,flagged,4
1109,44066,2,flagged,17
1109,44066,3,flagged,0
1109,44066,4,flagged,0
1109,44066,5,flagged,12
1109,44066,1,random,55
1109,44066,2,random,2
1109,44066,3,random,1
1109,44066,4,random,18
1109,44066,5,random,11
109,44051,1,flagged,4
109,44051,2,flagged,0
109,44051,3,flagged,0
109,44051,4,flagged,2
109,44051,5,flagged,5
109,44051,1,random,1
109,44051,2,random,3
109,44051,3,random,0
109,44051,4,random,10
109,44051,5,random,25
110,44051,1,flagged,6
110,44051,2,flagged,38
110,44051,3,flagged,0
110,44051,4,flagged,0
110,44051,5,flagged,15
110,44051,1,random,36
110,44051,2,random,24
110,44051,3,random,4
110,44051,4,random,16
110,44051,5,random,9
604,44051,1,flagged,6
604,44051,2,flagged,0
604,44051,3,flagged,0
604,44051,4,flagged,3
604,44051,5,flagged,5
604,44051,1,random,0
604,44051,2,random,8
604,44051,3,random,0
604,44051,4,random,10
604,44051,5,random,9
610,44051,1,flagged,1
610,44051,2,flagged,0
610,44051,3,flagged,0
610,44051,4,flagged,9
610,44051,5,flagged,0
610,44051,1,random,8
610,44051,2,random,13
610,44051,3,random,0
610,44051,4,random,11
610,44051,5,random,5
710,44051,1,flagged,0
710,44051,2,flagged,0
710,44051,3,flagged,5
710,44051,4,flagged,0
710,44051,5,flagged,0
710,44051,1,random,13
710,44051,2,random,1
710,44051,3,random,5
710,44051,4,random,0
710,44051,5,random,0
711,44051,1,flagged,0
711,44051,2,flagged,0
711,44051,3,flagged,1
711,44051,4,flagged,0
711,44051,5,flagged,0
711,44051,1,random,17
711,44051,2,random,2
711,44051,3,random,1
711,44051,4,random,4
711,44051,5,random,0
1106,44051,1,flagged,0
1106,44051,2,flagged,38
1106,44051,3,flagged,0
1106,44051,4,flagged,1
1106,44051,5,flagged,0
1106,44051,1,random,0
1106,44051,2,random,6
1106,44051,3,random,0
1106,44051,4,random,0
1106,44051,5,random,1
1109,44051,1,flagged,0
1109,44051,2,flagged,3
1109,44051,3,flagged,2
1109,44051,4,flagged,0
1109,44051,5,flagged,13
1109,44051,1,random,0
1109,44051,2,random,0
1109,44051,3,random,0
1109,44051,4,random,0
1109,44051,5,random,0
